split,model,user_id,holdout,rank,hit,precision_at_5,recall_at_5,f1_at_5,reciprocal_rank_at_5,latency_ms,recommended
validation,alpha=0.0,U001,B007,,0,0.0,0.0,0.0,0.0,0.49620000027061906,"['B020', 'B019', 'B006', 'B009', 'B016']"
validation,alpha=0.0,U002,B003,,0,0.0,0.0,0.0,0.0,0.34790000017892453,"['B020', 'B019', 'B007', 'B006', 'B009']"
validation,alpha=0.0,U003,B016,5,1,0.2,1.0,0.33333333333333337,0.2,0.4863999997724022,"['B003', 'B012', 'B019', 'B020', 'B016']"
validation,alpha=0.0,U004,B016,,0,0.0,0.0,0.0,0.0,0.450999999884516,"['B001', 'B002', 'B020', 'B019', 'B006']"
validation,alpha=0.0,U005,B006,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.3652999998848827,"['B019', 'B020', 'B006', 'B007', 'B009']"
validation,alpha=0.0,U006,B006,,0,0.0,0.0,0.0,0.0,0.36499999987427145,"['B019', 'B020', 'B007', 'B009', 'B016']"
validation,alpha=0.0,U007,B015,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.26939999997921404,"['B001', 'B002', 'B015', 'B017', 'B019']"
validation,alpha=0.0,U008,B012,2,1,0.2,1.0,0.33333333333333337,0.5,0.38099999983387534,"['B019', 'B012', 'B020', 'B006', 'B009']"
validation,alpha=0.0,U009,B012,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.25749999986146577,"['B018', 'B019', 'B012', 'B020', 'B006']"
validation,alpha=0.0,U010,B015,,0,0.0,0.0,0.0,0.0,0.4364999999779684,"['B019', 'B020', 'B006', 'B009', 'B016']"
validation,alpha=0.0,U011,B016,,0,0.0,0.0,0.0,0.0,0.4283000002942572,"['B019', 'B020', 'B006', 'B001', 'B003']"
validation,alpha=0.0,U012,B006,,0,0.0,0.0,0.0,0.0,0.3417999996599974,"['B019', 'B020', 'B007', 'B009', 'B016']"
validation,alpha=0.0,U013,B017,,0,0.0,0.0,0.0,0.0,0.3413999997974315,"['B019', 'B007', 'B006', 'B009', 'B016']"
validation,alpha=0.0,U014,B013,,0,0.0,0.0,0.0,0.0,0.38319999976010877,"['B019', 'B020', 'B006', 'B009', 'B016']"
validation,alpha=0.0,U015,B007,2,1,0.2,1.0,0.33333333333333337,0.5,0.36510000018097344,"['B002', 'B007', 'B008', 'B013', 'B019']"
validation,alpha=0.1,U001,B007,,0,0.0,0.0,0.0,0.0,0.46800000018265564,"['B020', 'B019', 'B006', 'B009', 'B016']"
validation,alpha=0.1,U002,B003,,0,0.0,0.0,0.0,0.0,0.3354999998919084,"['B020', 'B019', 'B007', 'B006', 'B009']"
validation,alpha=0.1,U003,B016,5,1,0.2,1.0,0.33333333333333337,0.2,0.4772999996021099,"['B019', 'B012', 'B020', 'B003', 'B016']"
validation,alpha=0.1,U004,B016,,0,0.0,0.0,0.0,0.0,0.4748999999719672,"['B002', 'B001', 'B020', 'B019', 'B006']"
validation,alpha=0.1,U005,B006,2,1,0.2,1.0,0.33333333333333337,0.5,0.35630000002129236,"['B019', 'B006', 'B020', 'B007', 'B009']"
validation,alpha=0.1,U006,B006,,0,0.0,0.0,0.0,0.0,0.367999999980384,"['B019', 'B020', 'B007', 'B009', 'B016']"
validation,alpha=0.1,U007,B015,1,1,0.2,1.0,0.33333333333333337,1.0,0.2668000001904147,"['B015', 'B002', 'B001', 'B017', 'B019']"
validation,alpha=0.1,U008,B012,2,1,0.2,1.0,0.33333333333333337,0.5,0.3847000002679124,"['B019', 'B012', 'B020', 'B016', 'B009']"
validation,alpha=0.1,U009,B012,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.263100000211125,"['B019', 'B018', 'B012', 'B020', 'B006']"
validation,alpha=0.1,U010,B015,,0,0.0,0.0,0.0,0.0,0.4552000000330736,"['B020', 'B019', 'B006', 'B009', 'B016']"
validation,alpha=0.1,U011,B016,4,1,0.2,1.0,0.33333333333333337,0.25,0.5477999998220184,"['B019', 'B020', 'B006', 'B016', 'B001']"
validation,alpha=0.1,U012,B006,,0,0.0,0.0,0.0,0.0,0.3600000000005821,"['B019', 'B020', 'B007', 'B009', 'B016']"
validation,alpha=0.1,U013,B017,,0,0.0,0.0,0.0,0.0,0.3337000002829882,"['B019', 'B007', 'B016', 'B009', 'B006']"
validation,alpha=0.1,U014,B013,,0,0.0,0.0,0.0,0.0,0.36959999988539494,"['B019', 'B020', 'B016', 'B006', 'B009']"
validation,alpha=0.1,U015,B007,4,1,0.2,1.0,0.33333333333333337,0.25,0.3842000000986445,"['B002', 'B008', 'B013', 'B007', 'B019']"
validation,alpha=0.2,U001,B007,,0,0.0,0.0,0.0,0.0,0.44730000035997364,"['B020', 'B019', 'B006', 'B009', 'B016']"
validation,alpha=0.2,U002,B003,,0,0.0,0.0,0.0,0.0,0.3218000001652399,"['B020', 'B019', 'B006', 'B007', 'B009']"
validation,alpha=0.2,U003,B016,5,1,0.2,1.0,0.33333333333333337,0.2,0.47530000028928043,"['B019', 'B012', 'B020', 'B003', 'B016']"
validation,alpha=0.2,U004,B016,,0,0.0,0.0,0.0,0.0,0.48870000000533764,"['B002', 'B001', 'B020', 'B019', 'B006']"
validation,alpha=0.2,U005,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.3566000000319036,"['B006', 'B019', 'B020', 'B007', 'B009']"
validation,alpha=0.2,U006,B006,,0,0.0,0.0,0.0,0.0,0.36339999996926053,"['B019', 'B020', 'B007', 'B009', 'B016']"
validation,alpha=0.2,U007,B015,1,1,0.2,1.0,0.33333333333333337,1.0,0.27309999995850376,"['B015', 'B002', 'B001', 'B017', 'B019']"
validation,alpha=0.2,U008,B012,2,1,0.2,1.0,0.33333333333333337,0.5,0.39139999989856733,"['B019', 'B012', 'B020', 'B016', 'B009']"
validation,alpha=0.2,U009,B012,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.2528999998503423,"['B019', 'B018', 'B012', 'B020', 'B006']"
validation,alpha=0.2,U010,B015,,0,0.0,0.0,0.0,0.0,0.4397000002427376,"['B020', 'B019', 'B006', 'B009', 'B016']"
validation,alpha=0.2,U011,B016,4,1,0.2,1.0,0.33333333333333337,0.25,0.41590000000724103,"['B019', 'B020', 'B006', 'B016', 'B001']"
validation,alpha=0.2,U012,B006,,0,0.0,0.0,0.0,0.0,0.33279999979640706,"['B019', 'B020', 'B007', 'B009', 'B016']"
validation,alpha=0.2,U013,B017,,0,0.0,0.0,0.0,0.0,0.32980000014504185,"['B019', 'B007', 'B016', 'B009', 'B006']"
validation,alpha=0.2,U014,B013,,0,0.0,0.0,0.0,0.0,0.362799999948038,"['B019', 'B020', 'B016', 'B006', 'B009']"
validation,alpha=0.2,U015,B007,4,1,0.2,1.0,0.33333333333333337,0.25,0.4403000002639601,"['B002', 'B008', 'B013', 'B007', 'B019']"
