book_id,title,author,genre,tags,description
B001,The Clockwork City,A. Mason,science fiction,"robots city mystery technology","A detective investigates autonomous machines and civic AI in a futuristic city."
B002,Stars Beyond the Gate,L. Chen,science fiction,"space exploration aliens technology","An expedition crosses a wormhole and encounters an alien archive of forgotten science."
B003,Quantum Harbor,N. Patel,science fiction,"physics thriller future technology","Scientists in a coastal lab race to control quantum devices before a disaster."
B004,The Last Orchard,E. Brooks,literary fiction,"family grief rural memory","A family returns to a rural orchard and confronts memory loss and reconciliation."
B005,Letters from the North,S. Ward,literary fiction,"letters friendship migration identity","Two friends exchange letters while migration reshapes their lives and identities."
B006,The Silent Bridge,M. Keller,literary fiction,"relationships memory city identity","A quiet novel about relationships, urban isolation, and the meaning of belonging."
B007,Data Science in Practice,R. Singh,computer science,"data machine learning python analytics","A practical guide to analytics, machine learning workflows, and responsible modeling."
B008,Clean Web Architecture,J. Alvarez,computer science,"web architecture testing api security","A hands-on book on designing maintainable web applications and reliable APIs."
B009,Algorithms for Everyday Problems,T. Weber,computer science,"algorithms optimization graphs python","An accessible treatment of algorithmic thinking for common planning and search problems."
B010,The Alpine Trail,C. Meyer,travel,"mountains hiking europe nature","A narrative travel guide through alpine trails, local cultures, and mountain ecology."
B011,Markets and Machines,D. Rossi,business,"strategy platforms automation innovation","An analysis of digital platforms, automation, and competitive strategy in online markets."
B012,The Responsible Startup,N. Green,business,"startup ethics product management privacy","A practical business book about product decisions, ethics, and privacy-aware growth."
B013,Foundations of Privacy Engineering,P. Novak,computer science,"privacy security gdpr engineering","An introduction to privacy engineering, data minimization, and secure software design."
B014,Gardens of Stone,H. Lind,historical fiction,"war family europe memory","A historical novel about a family navigating war, displacement, and remembrance."
B015,The Cloud Atlas of Bees,I. Novak,nature,"ecology bees climate observation","A nature-focused account of bees, biodiversity, climate signals, and field observation."
B016,Python for Automation,V. Adams,computer science,"python automation scripts testing","A concise guide to automating tasks and writing maintainable Python scripts."
B017,The Desert Cartographer,O. Haddad,adventure,"desert maps expedition survival","An expedition crosses a desert in search of a lost city and contested maps."
B018,Designing Secure APIs,F. Kramer,computer science,"api security authentication testing web","A technical guide to secure API design, authentication, and web application testing."
B019,Small Shop Digitalization,K. Braun,business,"ecommerce small business analytics personalization","A practical introduction to digital tools, analytics, and personalization for small shops."
B020,The Ocean Observatory,M. Ito,science fiction,"ocean research future climate technology","A near-future story about ocean sensors, climate models, and scientific responsibility."
